Date,Time,Height(m),State
02-08-2021,14:01,9.94,HW
02-08-2021,19:14,6.43,LW
03-08-2021,01:34,9.93,HW
03-08-2021,07:51,6.43,LW
03-08-2021,14:11,9.87,HW
03-08-2021,20:26,6.46,LW
04-08-2021,02:45,9.93,HW
04-08-2021,09:01,6.35,LW
04-08-2021,15:20,10.05,HW
04-08-2021,21:35,6.23,LW
05-08-2021,03:51,10.18,HW
05-08-2021,10:02,6.05,LW
05-08-2021,16:19,10.45,HW
05-08-2021,22:30,5.82,LW
06-08-2021,04:45,10.59,HW
06-08-2021,10:52,5.63,LW
06-08-2021,17:07,10.95,HW
07-08-2021,23:18,5.34,LW
07-08-2021,05:30,11.05,HW
07-08-2021,11:35,5.17,LW
07-08-2021,17:49,11.47,HW
08-08-2021,23:58,4.85,LW
08-08-2021,06:10,11.51,HW
08-08-2021,12:12,4.73,LW
08-08-2021,18:27,11.95,HW
09-08-2021,00:35,4.43,LW
09-08-2021,06:48,11.90,HW
09-08-2021,12:49,4.37,LW
