Date,Time,Height(m),State
22-12-2022,11:08,4.38,LW
22-12-2022,17:24,12.12,HW
23-12-2022,23:30,4.20,LW
23-12-2022,05:48,12.40,HW
23-12-2022,11:56,3.97,LW
23-12-2022,18:13,12.44,HW
24-12-2022,00:17,3.90,LW
24-12-2022,06:36,12.73,HW
24-12-2022,12:44,3.72,LW
24-12-2022,19:01,12.60,HW
25-12-2022,01:04,3.77,LW
25-12-2022,07:23,12.88,HW
25-12-2022,13:32,3.66,LW
25-12-2022,19:49,12.56,HW
26-12-2022,01:51,3.83,LW
26-12-2022,08:11,12.80,HW
26-12-2022,14:21,3.80,LW
26-12-2022,20:37,12.34,HW
27-12-2022,02:40,4.06,LW
27-12-2022,09:00,12.54,HW
27-12-2022,15:12,4.10,LW
27-12-2022,21:28,11.98,HW
28-12-2022,03:32,4.42,LW
28-12-2022,09:52,12.13,HW
28-12-2022,16:05,4.51,LW
28-12-2022,22:21,11.53,HW
29-12-2022,04:25,4.87,LW
29-12-2022,10:45,11.64,LW
