Date,Time,Height(m),State
29-03-2022,17:46,11.23,HW
29-03-2022,22:51,4.99,LW
30-03-2022,05:06,11.74,HW
30-03-2022,11:16,4.54,LW
30-03-2022,17:31,11.81,HW
31-03-2022,23:33,4.48,LW
31-03-2022,05:48,12.24,HW
31-03-2022,11:55,4.10,LW
31-03-2022,18:09,12.26,HW
01-04-2022,00:10,4.06,LW
01-04-2022,06:25,12.60,HW
01-04-2022,12:30,3.82,LW
01-04-2022,18:44,12.53,HW
02-04-2022,00:45,3.84,LW
02-04-2022,07:00,12.75,HW
02-04-2022,13:03,3.74,LW
02-04-2022,19:17,12.60,HW
03-04-2022,01:17,3.82,LW
03-04-2022,07:32,12.69,HW
03-04-2022,13:35,3.83,LW
03-04-2022,19:49,12.50,HW
04-04-2022,01:50,3.95,LW
04-04-2022,08:04,12.47,HW
04-04-2022,14:07,4.07,LW
04-04-2022,20:20,12.24,HW
05-04-2022,02:22,4.24,LW
05-04-2022,08:35,12.08,HW
05-04-2022,14:39,4.48,LW
