Date,Time,Height(m),State
11-10-2022,07:55,12.77,HW
11-10-2022,12:56,3.65,LW
11-10-2022,19:12,12.85,HW
12-10-2022,01:15,3.69,LW
12-10-2022,07:29,12.66,HW
12-10-2022,13:30,3.81,LW
12-10-2022,19:45,12.59,HW
13-10-2022,01:48,3.97,LW
13-10-2022,08:01,12.36,HW
13-10-2022,14:03,4.14,LW
13-10-2022,20:17,12.16,HW
14-10-2022,02:20,4.39,LW
14-10-2022,08:33,11.93,HW
14-10-2022,14:37,4.60,LW
14-10-2022,20:50,11.61,HW
15-10-2022,02:54,4.93,LW
15-10-2022,09:07,11.38,HW
15-10-2022,15:14,5.17,LW
15-10-2022,21:26,10.96,HW
16-10-2022,03:31,5.54,LW
16-10-2022,09:45,10.76,HW
16-10-2022,15:55,5.78,LW
16-10-2022,22:07,10.31,HW
17-10-2022,04:14,6.16,LW
17-10-2022,10:30,10.16,HW
17-10-2022,16:47,6.37,LW
18-10-2022,23:03,9.70,HW
18-10-2022,05:14,6.71,LW
