Date,Time,Height(m),State
30-04-2021,09:22,12.86,HW
30-04-2021,14:25,3.74,LW
30-04-2021,20:44,12.66,HW
01-05-2021,02:51,3.94,LW
01-05-2021,09:09,12.21,HW
01-05-2021,15:14,4.35,LW
01-05-2021,21:33,12.03,HW
02-05-2021,03:44,4.59,LW
02-05-2021,10:01,11.46,HW
02-05-2021,16:08,5.07,LW
02-05-2021,22:27,11.29,HW
03-05-2021,04:43,5.31,LW
03-05-2021,11:01,10.70,HW
03-05-2021,17:11,5.78,LW
04-05-2021,23:34,10.62,HW
04-05-2021,05:55,5.90,LW
04-05-2021,12:17,10.15,HW
04-05-2021,18:29,6.25,LW
05-05-2021,00:54,10.24,HW
05-05-2021,07:20,6.15,LW
05-05-2021,13:43,9.99,HW
05-05-2021,19:55,6.34,LW
06-05-2021,02:17,10.24,HW
06-05-2021,08:39,6.03,LW
06-05-2021,14:59,10.21,HW
06-05-2021,21:07,6.08,LW
07-05-2021,03:24,10.55,HW
07-05-2021,09:40,5.68,LW
