Date,Time,Height(m),State
30-01-2022,17:00,11.56,LW
31-01-2022,23:07,4.69,LW
31-01-2022,05:26,12.00,HW
31-01-2022,11:37,4.32,LW
31-01-2022,17:54,12.06,HW
01-02-2022,23:58,4.20,LW
01-02-2022,06:17,12.51,HW
01-02-2022,12:25,3.90,LW
01-02-2022,18:41,12.42,HW
02-02-2022,00:43,3.88,LW
02-02-2022,07:02,12.83,HW
02-02-2022,13:10,3.65,LW
02-02-2022,19:26,12.63,HW
03-02-2022,01:27,3.72,LW
03-02-2022,07:45,12.95,HW
03-02-2022,13:52,3.62,LW
03-02-2022,20:07,12.59,HW
04-02-2022,02:07,3.79,LW
04-02-2022,08:25,12.81,HW
04-02-2022,14:32,3.80,LW
04-02-2022,20:46,12.37,HW
05-02-2022,02:47,4.03,LW
05-02-2022,09:05,12.49,HW
05-02-2022,15:12,4.15,LW
05-02-2022,21:26,11.99,HW
06-02-2022,03:28,4.44,LW
06-02-2022,09:44,12.01,HW
06-02-2022,15:52,4.62,LW
