Date,Time,Height(m),State
03-12-2021,17:24,12.64,LW
04-12-2021,23:29,3.74,LW
04-12-2021,05:47,12.79,HW
04-12-2021,11:53,3.59,LW
04-12-2021,18:11,12.89,HW
05-12-2021,00:14,3.53,LW
05-12-2021,06:33,13.03,HW
05-12-2021,12:39,3.44,LW
05-12-2021,18:57,12.93,HW
06-12-2021,00:59,3.53,LW
06-12-2021,07:18,13.03,HW
06-12-2021,13:26,3.52,LW
06-12-2021,19:43,12.71,HW
07-12-2021,01:46,3.76,LW
07-12-2021,08:05,12.79,HW
07-12-2021,14:14,3.82,LW
07-12-2021,20:31,12.32,HW
08-12-2021,02:35,4.15,LW
08-12-2021,08:55,12.36,HW
08-12-2021,15:06,4.28,LW
08-12-2021,21:23,11.76,HW
09-12-2021,03:27,4.69,LW
09-12-2021,09:47,11.79,HW
09-12-2021,16:02,4.84,LW
09-12-2021,22:18,11.16,HW
10-12-2021,04:24,5.27,LW
10-12-2021,10:44,11.21,HW
10-12-2021,17:02,5.37,LW
