Date,Time,Height(m),State
16-02-2021,21:22,11.68,LW
17-02-2021,03:23,4.73,LW
17-02-2021,09:37,11.68,HW
17-02-2021,15:44,4.91,LW
17-02-2021,21:55,11.26,HW
18-02-2021,03:58,5.16,LW
18-02-2021,10:12,11.19,HW
18-02-2021,16:20,5.38,LW
18-02-2021,22:31,10.78,HW
19-02-2021,04:36,5.64,LW
19-02-2021,10:51,10.67,HW
19-02-2021,17:00,5.86,LW
20-02-2021,23:12,10.31,HW
20-02-2021,05:21,6.11,LW
20-02-2021,11:39,10.15,HW
20-02-2021,17:53,6.34,LW
21-02-2021,00:11,9.86,HW
21-02-2021,06:27,6.54,LW
21-02-2021,12:49,9.74,HW
21-02-2021,19:08,6.65,LW
22-02-2021,01:32,9.67,HW
22-02-2021,07:54,6.66,LW
22-02-2021,14:18,9.68,HW
22-02-2021,20:36,6.59,LW
23-02-2021,02:59,9.87,HW
23-02-2021,09:19,6.37,LW
23-02-2021,15:39,10.02,HW
23-02-2021,21:51,6.19,LW
