Date,Time,Height(m),State
08-12-2022,06:07,11.87,HW
08-12-2022,12:12,4.56,LW
08-12-2022,18:25,11.81,HW
09-12-2022,00:28,4.56,LW
09-12-2022,06:42,11.92,HW
09-12-2022,12:48,4.54,LW
09-12-2022,19:00,11.76,HW
10-12-2022,01:02,4.61,LW
10-12-2022,07:17,11.88,HW
10-12-2022,13:23,4.61,LW
10-12-2022,19:35,11.63,HW
11-12-2022,01:37,4.75,LW
11-12-2022,07:52,11.74,HW
11-12-2022,14:00,4.78,LW
11-12-2022,20:11,11.40,HW
12-12-2022,02:13,4.97,LW
12-12-2022,08:28,11.52,HW
12-12-2022,14:37,5.01,LW
12-12-2022,20:48,11.12,HW
13-12-2022,02:50,5.24,LW
13-12-2022,09:05,11.25,HW
13-12-2022,15:15,5.30,LW
13-12-2022,21:26,10.80,HW
14-12-2022,03:29,5.54,LW
14-12-2022,09:45,10.94,HW
14-12-2022,15:59,5.60,LW
14-12-2022,22:11,10.47,HW
15-12-2022,04:14,5.85,LW
