Date,Time,Height(m),State
16-11-2022,11:02,10.04,HW
16-11-2022,17:24,6.43,LW
17-11-2022,23:42,9.65,HW
17-11-2022,05:52,6.67,LW
17-11-2022,12:16,9.85,HW
17-11-2022,18:44,6.53,LW
18-11-2022,01:06,9.62,HW
18-11-2022,07:15,6.64,LW
18-11-2022,13:37,9.99,HW
18-11-2022,20:00,6.27,LW
19-11-2022,02:18,9.96,HW
19-11-2022,08:26,6.27,LW
19-11-2022,14:43,10.41,HW
19-11-2022,21:00,5.81,LW
20-11-2022,03:16,10.49,HW
20-11-2022,09:20,5.73,LW
20-11-2022,15:35,10.97,HW
20-11-2022,21:47,5.26,LW
21-11-2022,04:02,11.10,HW
21-11-2022,10:06,5.12,LW
21-11-2022,16:21,11.58,HW
21-11-2022,22:30,4.68,LW
22-11-2022,04:44,11.73,HW
22-11-2022,10:48,4.53,LW
22-11-2022,17:04,12.12,HW
23-11-2022,23:10,4.20,LW
23-11-2022,05:26,12.26,HW
23-11-2022,11:29,4.05,LW
