Date,Time,Height(m),State
01-07-2022,20:50,11.68,LW
02-07-2022,01:58,4.81,LW
02-07-2022,08:10,11.40,HW
02-07-2022,14:11,4.91,LW
02-07-2022,20:26,11.64,HW
03-07-2022,02:35,4.87,LW
03-07-2022,08:46,11.30,HW
03-07-2022,14:48,5.03,LW
03-07-2022,21:04,11.51,HW
04-07-2022,03:14,5.02,LW
04-07-2022,09:25,11.13,HW
04-07-2022,15:27,5.18,LW
04-07-2022,21:43,11.37,HW
05-07-2022,03:55,5.16,LW
05-07-2022,10:06,10.97,HW
05-07-2022,16:09,5.33,LW
05-07-2022,22:26,11.21,HW
06-07-2022,04:39,5.32,LW
06-07-2022,10:53,10.80,HW
06-07-2022,16:57,5.51,LW
07-07-2022,23:16,11.01,HW
07-07-2022,05:31,5.48,LW
07-07-2022,11:45,10.66,HW
07-07-2022,17:52,5.63,LW
08-07-2022,00:11,10.90,HW
08-07-2022,06:29,5.57,LW
08-07-2022,12:46,10.62,HW
08-07-2022,18:56,5.67,LW
