Date,Time,Height(m),State
13-04-2022,04:55,10.56,HW
13-04-2022,10:09,5.61,LW
13-04-2022,16:22,10.74,HW
13-04-2022,22:25,5.45,LW
14-04-2022,04:39,11.29,HW
14-04-2022,10:49,4.92,LW
14-04-2022,17:03,11.45,HW
15-04-2022,23:04,4.77,LW
15-04-2022,05:19,11.99,HW
15-04-2022,11:26,4.29,LW
15-04-2022,17:40,12.11,HW
16-04-2022,23:40,4.15,LW
16-04-2022,05:56,12.58,HW
16-04-2022,12:02,3.80,LW
16-04-2022,18:16,12.61,HW
17-04-2022,00:17,3.70,LW
17-04-2022,06:34,12.96,HW
17-04-2022,12:38,3.49,LW
17-04-2022,18:53,12.93,HW
18-04-2022,00:53,3.44,LW
18-04-2022,07:11,13.12,HW
18-04-2022,13:15,3.41,LW
18-04-2022,19:31,13.01,HW
19-04-2022,01:33,3.43,LW
19-04-2022,07:51,13.00,HW
19-04-2022,13:54,3.57,LW
19-04-2022,20:10,12.84,HW
20-04-2022,02:15,3.66,LW
