Date,Time,Height(m),State
26-09-2022,19:41,12.66,LW
27-09-2022,00:45,3.79,LW
27-09-2022,06:58,12.57,HW
27-09-2022,12:58,3.76,LW
27-09-2022,19:14,12.85,HW
28-09-2022,01:18,3.67,LW
28-09-2022,07:31,12.68,HW
28-09-2022,13:31,3.70,LW
28-09-2022,19:47,12.82,HW
29-09-2022,01:51,3.74,LW
29-09-2022,08:05,12.60,HW
29-09-2022,14:07,3.84,LW
29-09-2022,20:24,12.57,HW
30-09-2022,02:28,4.02,LW
30-09-2022,08:42,12.32,HW
30-09-2022,14:47,4.15,LW
30-09-2022,21:03,12.16,HW
01-10-2022,03:08,4.43,LW
01-10-2022,09:23,11.87,HW
01-10-2022,15:31,4.66,LW
01-10-2022,21:47,11.52,HW
02-10-2022,03:55,5.05,LW
02-10-2022,10:12,11.26,HW
02-10-2022,16:25,5.27,LW
02-10-2022,22:43,10.84,HW
03-10-2022,04:54,5.68,LW
03-10-2022,11:16,10.64,HW
03-10-2022,17:38,5.88,LW
