Date,Time,Height(m),State
29-09-2021,12:04,9.97,HW
29-09-2021,17:20,6.50,LW
30-09-2021,23:39,9.64,HW
30-09-2021,05:55,6.76,LW
30-09-2021,12:21,9.61,HW
30-09-2021,18:50,6.77,LW
01-10-2021,01:17,9.45,HW
01-10-2021,07:34,6.84,LW
01-10-2021,14:01,9.70,HW
01-10-2021,20:27,6.55,LW
02-10-2021,02:49,9.77,HW
02-10-2021,09:00,6.43,LW
02-10-2021,15:18,10.24,HW
02-10-2021,21:36,5.93,LW
03-10-2021,03:52,10.43,HW
03-10-2021,09:57,5.75,LW
03-10-2021,16:13,10.98,HW
03-10-2021,22:25,5.20,LW
04-10-2021,04:39,11.17,HW
04-10-2021,10:42,5.02,LW
04-10-2021,16:57,11.75,HW
05-10-2021,23:06,4.50,LW
05-10-2021,05:19,11.90,HW
05-10-2021,11:20,4.31,LW
05-10-2021,17:35,12.47,HW
06-10-2021,23:42,3.85,LW
06-10-2021,05:56,12.54,HW
06-10-2021,11:56,3.73,LW
