Date,Time,Height(m),State
23-11-2022,17:45,12.53,LW
24-11-2022,23:49,3.85,LW
24-11-2022,06:06,12.65,HW
24-11-2022,12:10,3.73,LW
24-11-2022,18:27,12.74,HW
25-11-2022,00:30,3.69,LW
25-11-2022,06:47,12.84,HW
25-11-2022,12:52,3.62,LW
25-11-2022,19:09,12.73,HW
26-11-2022,01:12,3.73,LW
26-11-2022,07:30,12.81,HW
26-11-2022,13:37,3.73,LW
26-11-2022,19:54,12.51,HW
27-11-2022,01:57,3.96,LW
27-11-2022,08:16,12.57,HW
27-11-2022,14:25,4.03,LW
27-11-2022,20:42,12.10,HW
28-11-2022,02:46,4.36,LW
28-11-2022,09:06,12.14,HW
28-11-2022,15:19,4.48,LW
28-11-2022,21:36,11.56,HW
29-11-2022,03:41,4.88,LW
29-11-2022,10:02,11.62,HW
29-11-2022,16:19,4.98,LW
29-11-2022,22:36,11.03,HW
30-11-2022,04:44,5.38,LW
30-11-2022,11:06,11.13,HW
30-11-2022,17:27,5.42,LW
