Date,Time,Height(m),State
04-11-2021,17:47,12.99,LW
05-11-2021,23:52,3.42,LW
05-11-2021,06:08,13.05,HW
05-11-2021,12:10,3.32,LW
05-11-2021,18:28,13.25,HW
06-11-2021,00:31,3.24,LW
06-11-2021,06:49,13.25,HW
06-11-2021,12:52,3.20,LW
06-11-2021,19:10,13.24,HW
07-11-2021,01:13,3.30,LW
07-11-2021,07:31,13.17,HW
07-11-2021,13:36,3.36,LW
07-11-2021,19:54,12.93,HW
08-11-2021,01:57,3.63,LW
08-11-2021,08:16,12.82,HW
08-11-2021,14:23,3.76,LW
08-11-2021,20:41,12.41,HW
09-11-2021,02:45,4.15,LW
09-11-2021,09:04,12.26,HW
09-11-2021,15:14,4.37,LW
09-11-2021,21:32,11.68,HW
10-11-2021,03:38,4.85,LW
10-11-2021,09:57,11.55,HW
10-11-2021,16:13,5.07,LW
10-11-2021,22:31,10.93,HW
11-11-2021,04:39,5.55,LW
11-11-2021,11:01,10.86,HW
11-11-2021,17:23,5.71,LW
