Date,Time,Height(m),State
28-08-2022,20:10,12.36,LW
29-08-2022,01:16,4.11,LW
29-08-2022,07:27,12.19,HW
29-08-2022,13:27,4.11,LW
29-08-2022,19:42,12.52,HW
30-08-2022,01:47,4.00,LW
30-08-2022,07:59,12.28,HW
30-08-2022,13:58,4.05,LW
30-08-2022,20:14,12.53,HW
31-08-2022,02:19,4.03,LW
31-08-2022,08:31,12.23,HW
31-08-2022,14:32,4.13,LW
31-08-2022,20:48,12.36,HW
01-09-2022,02:54,4.23,LW
01-09-2022,09:07,12.03,HW
01-09-2022,15:09,4.36,LW
01-09-2022,21:25,12.06,HW
02-09-2022,03:32,4.54,LW
02-09-2022,09:46,11.69,HW
02-09-2022,15:51,4.74,LW
02-09-2022,22:08,11.58,HW
03-09-2022,04:17,5.01,LW
03-09-2022,10:33,11.21,HW
03-09-2022,16:42,5.24,LW
04-09-2022,23:01,11.00,HW
04-09-2022,05:14,5.55,LW
04-09-2022,11:33,10.70,HW
04-09-2022,17:50,5.75,LW
