Date,Time,Height(m),State
15-09-2021,01:06,10.48,HW
15-09-2021,06:22,6.00,LW
15-09-2021,12:48,10.35,HW
15-09-2021,19:12,6.07,LW
16-09-2021,01:38,10.14,HW
16-09-2021,07:57,6.20,LW
16-09-2021,14:23,10.30,HW
16-09-2021,20:47,5.98,LW
17-09-2021,03:11,10.32,HW
17-09-2021,09:23,5.92,LW
17-09-2021,15:44,10.73,HW
17-09-2021,22:02,5.49,LW
18-09-2021,04:19,10.85,HW
18-09-2021,10:26,5.38,LW
18-09-2021,16:43,11.32,HW
18-09-2021,22:55,4.93,LW
19-09-2021,05:10,11.42,HW
19-09-2021,11:13,4.83,LW
19-09-2021,17:28,11.88,HW
20-09-2021,23:37,4.43,LW
20-09-2021,05:50,11.92,HW
20-09-2021,11:51,4.38,LW
20-09-2021,18:06,12.32,HW
21-09-2021,00:12,4.06,LW
21-09-2021,06:25,12.26,HW
21-09-2021,12:26,4.08,LW
21-09-2021,18:40,12.55,HW
22-09-2021,00:46,3.90,LW
