Date,Time,Height(m),State
11-07-2021,20:21,11.93,LW
12-07-2021,01:29,4.53,LW
12-07-2021,07:42,11.74,HW
12-07-2021,13:43,4.57,LW
12-07-2021,19:59,12.04,HW
13-07-2021,02:07,4.46,LW
13-07-2021,08:19,11.77,HW
13-07-2021,14:21,4.54,LW
13-07-2021,20:37,12.07,HW
14-07-2021,02:46,4.46,LW
14-07-2021,08:58,11.71,HW
14-07-2021,15:00,4.61,LW
14-07-2021,21:18,11.97,HW
15-07-2021,03:28,4.59,LW
15-07-2021,09:41,11.56,HW
15-07-2021,15:44,4.76,LW
15-07-2021,22:02,11.80,HW
16-07-2021,04:13,4.77,LW
16-07-2021,10:27,11.36,HW
16-07-2021,16:32,4.97,LW
16-07-2021,22:51,11.54,HW
17-07-2021,05:05,5.02,LW
17-07-2021,11:21,11.11,HW
17-07-2021,17:28,5.22,LW
18-07-2021,23:49,11.26,HW
18-07-2021,06:05,5.26,LW
18-07-2021,12:23,10.92,HW
18-07-2021,18:33,5.42,LW
