Date,Time,Height(m),State
03-03-2021,09:01,12.99,HW
03-03-2021,15:06,3.68,LW
03-03-2021,21:21,12.57,HW
04-03-2021,03:25,3.89,LW
04-03-2021,09:43,12.48,HW
04-03-2021,15:50,4.19,LW
04-03-2021,22:06,12.02,HW
05-03-2021,04:13,4.48,LW
05-03-2021,10:31,11.77,HW
05-03-2021,16:41,4.87,LW
05-03-2021,22:58,11.33,HW
06-03-2021,05:09,5.19,LW
06-03-2021,11:29,10.98,HW
06-03-2021,17:43,5.59,LW
07-03-2021,00:04,10.64,HW
07-03-2021,06:21,5.85,LW
07-03-2021,12:45,10.33,HW
07-03-2021,19:03,6.13,LW
08-03-2021,01:29,10.22,HW
08-03-2021,07:52,6.16,LW
08-03-2021,14:18,10.09,HW
08-03-2021,20:36,6.23,LW
09-03-2021,03:01,10.28,HW
09-03-2021,09:23,5.98,LW
09-03-2021,15:44,10.36,HW
09-03-2021,21:56,5.88,LW
10-03-2021,04:15,10.75,HW
10-03-2021,10:31,5.48,LW
