Date,Time,Height(m),State
07-03-2022,21:26,11.77,LW
08-03-2022,03:29,4.70,LW
08-03-2022,09:43,11.61,HW
08-03-2022,15:48,4.98,LW
08-03-2022,21:59,11.23,HW
09-03-2022,04:04,5.25,LW
09-03-2022,10:17,10.98,HW
09-03-2022,16:24,5.58,LW
09-03-2022,22:36,10.61,HW
10-03-2022,04:44,5.87,LW
10-03-2022,10:58,10.31,HW
10-03-2022,17:08,6.21,LW
11-03-2022,23:23,10.00,HW
11-03-2022,05:37,6.47,LW
11-03-2022,11:56,9.69,HW
11-03-2022,18:13,6.76,LW
12-03-2022,00:37,9.53,HW
12-03-2022,07:02,6.86,LW
12-03-2022,13:28,9.37,HW
12-03-2022,19:48,6.95,LW
13-03-2022,02:15,9.49,HW
13-03-2022,08:43,6.78,LW
13-03-2022,15:07,9.54,HW
13-03-2022,21:21,6.69,LW
14-03-2022,03:41,9.90,HW
14-03-2022,09:59,6.29,LW
14-03-2022,16:15,10.08,HW
14-03-2022,22:21,6.11,LW
