Date,Time,Height(m),State
10-06-2022,03:08,10.80,HW
10-06-2022,08:25,5.51,LW
10-06-2022,14:43,10.78,HW
10-06-2022,20:50,5.45,LW
11-06-2022,03:09,11.20,HW
11-06-2022,09:23,5.08,LW
11-06-2022,15:39,11.29,HW
11-06-2022,21:46,4.94,LW
12-06-2022,04:04,11.68,HW
12-06-2022,10:15,4.62,LW
12-06-2022,16:32,11.83,HW
12-06-2022,22:39,4.45,LW
13-06-2022,04:56,12.12,HW
13-06-2022,11:03,4.22,LW
13-06-2022,17:21,12.31,HW
14-06-2022,23:27,4.02,LW
14-06-2022,05:45,12.45,HW
14-06-2022,11:50,3.92,LW
14-06-2022,18:09,12.65,HW
15-06-2022,00:16,3.77,LW
15-06-2022,06:34,12.62,HW
15-06-2022,12:38,3.78,LW
15-06-2022,18:57,12.82,HW
16-06-2022,01:05,3.67,LW
16-06-2022,07:23,12.60,HW
16-06-2022,13:26,3.82,LW
16-06-2022,19:46,12.77,HW
17-06-2022,01:56,3.79,LW
