Date,Time,Height(m),State
27-04-2022,17:22,11.14,HW
27-04-2022,22:26,5.14,LW
28-04-2022,04:41,11.55,HW
28-04-2022,10:51,4.73,LW
28-04-2022,17:05,11.60,HW
29-04-2022,23:08,4.72,LW
29-04-2022,05:22,11.93,HW
29-04-2022,11:29,4.39,LW
29-04-2022,17:42,11.98,HW
30-04-2022,23:44,4.37,LW
30-04-2022,05:58,12.21,HW
30-04-2022,12:02,4.17,LW
30-04-2022,18:16,12.20,HW
01-05-2022,00:18,4.19,LW
01-05-2022,06:31,12.32,HW
01-05-2022,12:34,4.10,LW
01-05-2022,18:48,12.28,HW
02-05-2022,00:50,4.15,LW
02-05-2022,07:03,12.29,HW
02-05-2022,13:06,4.16,LW
02-05-2022,19:20,12.23,HW
03-05-2022,01:23,4.24,LW
03-05-2022,07:35,12.12,HW
03-05-2022,13:38,4.35,LW
03-05-2022,19:51,12.03,HW
04-05-2022,01:55,4.47,LW
04-05-2022,08:07,11.80,HW
04-05-2022,14:10,4.67,LW
