Date,Time,Height(m),State
01-12-2022,23:47,10.60,HW
01-12-2022,05:56,5.76,LW
01-12-2022,12:20,10.78,HW
01-12-2022,18:43,5.66,LW
02-12-2022,01:04,10.44,HW
02-12-2022,07:14,5.89,LW
02-12-2022,13:36,10.70,HW
02-12-2022,19:57,5.65,LW
03-12-2022,02:17,10.54,HW
03-12-2022,08:26,5.76,LW
03-12-2022,14:45,10.86,HW
03-12-2022,21:01,5.43,LW
04-12-2022,03:19,10.84,HW
04-12-2022,09:26,5.46,LW
04-12-2022,15:42,11.14,HW
04-12-2022,21:54,5.15,LW
05-12-2022,04:10,11.19,HW
05-12-2022,10:15,5.14,LW
05-12-2022,16:30,11.42,HW
05-12-2022,22:39,4.88,LW
06-12-2022,04:54,11.50,HW
06-12-2022,10:58,4.86,LW
06-12-2022,17:12,11.64,HW
07-12-2022,23:18,4.69,LW
07-12-2022,05:32,11.73,HW
07-12-2022,11:36,4.66,LW
07-12-2022,17:49,11.77,HW
08-12-2022,23:53,4.58,LW
