Date,Time,Height(m),State
05-09-2022,01:12,10.45,HW
05-09-2022,06:29,6.00,LW
05-09-2022,12:54,10.36,HW
05-09-2022,19:17,6.03,LW
06-09-2022,01:42,10.22,HW
06-09-2022,08:01,6.09,LW
06-09-2022,14:28,10.44,HW
06-09-2022,20:51,5.82,LW
07-09-2022,03:14,10.52,HW
07-09-2022,09:27,5.70,LW
07-09-2022,15:49,10.99,HW
07-09-2022,22:06,5.22,LW
08-09-2022,04:24,11.15,HW
08-09-2022,10:31,5.06,LW
08-09-2022,16:49,11.70,HW
09-09-2022,23:02,4.56,LW
09-09-2022,05:18,11.82,HW
09-09-2022,11:22,4.40,LW
09-09-2022,17:39,12.39,HW
10-09-2022,23:48,3.93,LW
10-09-2022,06:04,12.41,HW
10-09-2022,12:05,3.88,LW
10-09-2022,18:23,12.86,HW
11-09-2022,00:30,3.58,LW
11-09-2022,06:44,12.75,HW
11-09-2022,12:44,3.59,LW
11-09-2022,19:01,13.10,HW
12-09-2022,01:06,3.43,LW
