Date,Time,Height(m),State
08-04-2021,17:30,10.76,HW
08-04-2021,22:35,5.50,LW
09-04-2021,04:49,11.17,HW
09-04-2021,11:00,5.07,LW
09-04-2021,17:13,11.27,HW
10-04-2021,23:16,5.03,LW
10-04-2021,05:28,11.62,HW
10-04-2021,11:36,4.67,LW
10-04-2021,17:48,11.67,HW
11-04-2021,23:49,4.66,LW
11-04-2021,06:02,11.98,HW
11-04-2021,12:07,4.35,LW
11-04-2021,18:20,12.00,HW
12-04-2021,00:20,4.34,LW
12-04-2021,06:33,12.25,HW
12-04-2021,12:37,4.15,LW
12-04-2021,18:49,12.22,HW
13-04-2021,00:50,4.17,LW
13-04-2021,07:02,12.37,HW
13-04-2021,13:05,4.08,LW
13-04-2021,19:18,12.28,HW
14-04-2021,01:18,4.14,LW
14-04-2021,07:32,12.31,HW
14-04-2021,13:35,4.17,LW
14-04-2021,19:48,12.17,HW
15-04-2021,01:50,4.28,LW
15-04-2021,08:02,12.11,HW
15-04-2021,14:05,4.39,LW
