Date,Time,Height(m),State
06-02-2022,22:04,11.50,LW
07-02-2022,04:07,4.94,LW
07-02-2022,10:23,11.44,HW
07-02-2022,16:31,5.17,LW
07-02-2022,22:44,10.94,HW
08-02-2022,04:49,5.49,LW
08-02-2022,11:05,10.82,HW
08-02-2022,17:16,5.74,LW
09-02-2022,23:30,10.38,HW
09-02-2022,05:37,6.05,LW
09-02-2022,11:54,10.23,HW
09-02-2022,18:09,6.28,LW
10-02-2022,00:26,9.89,HW
10-02-2022,06:39,6.52,LW
10-02-2022,12:59,9.78,HW
10-02-2022,19:17,6.63,LW
11-02-2022,01:40,9.64,HW
11-02-2022,07:59,6.71,LW
11-02-2022,14:22,9.63,HW
11-02-2022,20:42,6.67,LW
12-02-2022,03:05,9.74,HW
12-02-2022,09:23,6.54,LW
12-02-2022,15:41,9.85,HW
12-02-2022,21:53,6.37,LW
13-02-2022,04:11,10.14,HW
13-02-2022,10:25,6.11,LW
13-02-2022,16:40,10.29,HW
13-02-2022,22:47,5.91,LW
