Date,Time,Height(m),State
21-02-2022,09:11,12.49,HW
21-02-2022,15:18,4.14,LW
21-02-2022,21:31,12.08,HW
22-02-2022,03:34,4.31,LW
22-02-2022,09:52,12.11,HW
22-02-2022,15:59,4.51,LW
22-02-2022,22:14,11.70,HW
23-02-2022,04:19,4.73,LW
23-02-2022,10:38,11.57,HW
23-02-2022,16:48,5.04,LW
24-02-2022,23:04,11.16,HW
24-02-2022,05:15,5.31,LW
24-02-2022,11:36,10.92,HW
24-02-2022,17:50,5.63,LW
25-02-2022,00:11,10.60,HW
25-02-2022,06:28,5.83,LW
25-02-2022,12:52,10.41,HW
25-02-2022,19:10,6.02,LW
26-02-2022,01:36,10.35,HW
26-02-2022,08:00,6.01,LW
26-02-2022,14:27,10.28,HW
26-02-2022,20:46,6.01,LW
27-02-2022,03:11,10.55,HW
27-02-2022,09:32,5.69,LW
27-02-2022,15:53,10.68,HW
27-02-2022,22:04,5.52,LW
28-02-2022,04:24,11.16,HW
28-02-2022,10:40,5.07,LW
