Date,Time,Height(m),State
12-06-2021,20:36,11.80,LW
13-06-2021,01:43,4.68,LW
13-06-2021,07:55,11.56,HW
13-06-2021,13:57,4.80,LW
13-06-2021,20:12,11.71,HW
14-06-2021,02:21,4.80,LW
14-06-2021,08:32,11.40,HW
14-06-2021,14:35,4.95,LW
14-06-2021,20:50,11.57,HW
15-06-2021,03:01,4.95,LW
15-06-2021,09:13,11.20,HW
15-06-2021,15:17,5.14,LW
15-06-2021,21:34,11.40,HW
16-06-2021,03:46,5.13,LW
16-06-2021,09:59,10.99,HW
16-06-2021,16:03,5.34,LW
16-06-2021,22:22,11.20,HW
17-06-2021,04:37,5.32,LW
17-06-2021,10:52,10.78,HW
17-06-2021,16:57,5.53,LW
18-06-2021,23:18,11.03,HW
18-06-2021,05:36,5.45,LW
18-06-2021,11:53,10.67,HW
18-06-2021,18:01,5.61,LW
19-06-2021,00:23,10.98,HW
19-06-2021,06:41,5.46,LW
19-06-2021,13:00,10.72,HW
19-06-2021,19:08,5.55,LW
