Date,Time,Height(m),State
29-05-2021,09:09,12.53,HW
29-05-2021,14:12,3.96,LW
29-05-2021,20:32,12.53,HW
30-05-2021,02:41,4.08,LW
30-05-2021,08:58,12.02,HW
30-05-2021,15:02,4.46,LW
30-05-2021,21:21,12.00,HW
31-05-2021,03:33,4.62,LW
31-05-2021,09:49,11.42,HW
31-05-2021,15:54,5.04,LW
31-05-2021,22:13,11.42,HW
01-06-2021,04:29,5.18,LW
01-06-2021,10:46,10.84,HW
01-06-2021,16:53,5.59,LW
02-06-2021,23:14,10.87,HW
02-06-2021,05:32,5.65,LW
02-06-2021,11:50,10.39,HW
02-06-2021,17:58,5.99,LW
03-06-2021,00:19,10.50,HW
03-06-2021,06:41,5.95,LW
03-06-2021,13:00,10.15,HW
03-06-2021,19:10,6.20,LW
04-06-2021,01:31,10.33,HW
04-06-2021,07:51,6.01,LW
04-06-2021,14:09,10.17,HW
04-06-2021,20:17,6.15,LW
05-06-2021,02:34,10.42,HW
05-06-2021,08:51,5.87,LW
