Date,Time,Height(m),State
24-08-2021,08:24,12.39,HW
24-08-2021,13:24,3.97,LW
24-08-2021,19:40,12.65,HW
25-08-2021,01:46,3.89,LW
25-08-2021,07:59,12.35,HW
25-08-2021,14:00,4.04,LW
25-08-2021,20:16,12.51,HW
26-08-2021,02:22,4.07,LW
26-08-2021,08:34,12.15,HW
26-08-2021,14:34,4.26,LW
26-08-2021,20:49,12.21,HW
27-08-2021,02:55,4.38,LW
27-08-2021,09:07,11.81,HW
27-08-2021,15:09,4.61,LW
27-08-2021,21:23,11.78,HW
28-08-2021,03:30,4.81,LW
28-08-2021,09:41,11.37,HW
28-08-2021,15:44,5.07,LW
28-08-2021,21:59,11.25,HW
29-08-2021,04:06,5.32,LW
29-08-2021,10:18,10.87,HW
29-08-2021,16:24,5.57,LW
29-08-2021,22:38,10.70,HW
30-08-2021,04:47,5.83,LW
30-08-2021,11:00,10.35,HW
30-08-2021,17:08,6.10,LW
31-08-2021,23:24,10.14,HW
31-08-2021,05:37,6.35,LW
