Date,Time,Height(m),State
04-01-2021,09:37,11.96,HW
04-01-2021,15:48,4.62,LW
04-01-2021,22:02,11.50,HW
05-01-2021,04:06,4.85,LW
05-01-2021,10:26,11.69,HW
05-01-2021,16:40,4.89,LW
05-01-2021,22:56,11.21,HW
06-01-2021,05:02,5.14,LW
06-01-2021,11:23,11.36,HW
06-01-2021,17:40,5.19,LW
07-01-2021,23:57,10.92,HW
07-01-2021,06:06,5.42,LW
07-01-2021,12:28,11.09,HW
07-01-2021,18:47,5.40,LW
08-01-2021,01:06,10.79,HW
08-01-2021,07:17,5.53,LW
08-01-2021,13:40,10.97,HW
08-01-2021,19:58,5.42,LW
09-01-2021,02:18,10.86,HW
09-01-2021,08:31,5.44,LW
09-01-2021,14:53,11.06,HW
09-01-2021,21:09,5.26,LW
10-01-2021,03:29,11.14,HW
10-01-2021,09:41,5.14,LW
10-01-2021,16:01,11.36,HW
10-01-2021,22:12,4.92,LW
11-01-2021,04:31,11.58,HW
11-01-2021,10:41,4.74,LW
