Date,Time,Height(m),State
07-05-2021,16:56,10.61,HW
07-05-2021,22:01,5.68,LW
08-05-2021,04:14,10.95,HW
08-05-2021,10:25,5.29,LW
08-05-2021,16:39,11.03,HW
08-05-2021,22:42,5.28,LW
09-05-2021,04:55,11.33,HW
09-05-2021,11:02,4.93,LW
09-05-2021,17:15,11.42,HW
10-05-2021,23:17,4.91,LW
10-05-2021,05:29,11.67,HW
10-05-2021,11:35,4.65,LW
10-05-2021,17:48,11.71,HW
11-05-2021,23:50,4.65,LW
11-05-2021,06:02,11.88,HW
11-05-2021,12:07,4.47,LW
11-05-2021,18:19,11.92,HW
12-05-2021,00:22,4.47,LW
12-05-2021,06:34,12.00,HW
12-05-2021,12:37,4.39,LW
12-05-2021,18:50,12.01,HW
13-05-2021,00:53,4.41,LW
13-05-2021,07:05,11.99,HW
13-05-2021,13:08,4.42,LW
13-05-2021,19:21,11.99,HW
14-05-2021,01:25,4.47,LW
14-05-2021,07:37,11.87,HW
14-05-2021,13:39,4.55,LW
