Date,Time,Height(m),State
20-06-2021,02:30,11.06,HW
20-06-2021,07:49,5.31,LW
20-06-2021,14:08,10.95,HW
20-06-2021,20:18,5.30,LW
21-06-2021,02:39,11.32,HW
21-06-2021,08:55,5.01,LW
21-06-2021,15:13,11.35,HW
21-06-2021,21:22,4.92,LW
22-06-2021,03:41,11.68,HW
22-06-2021,09:53,4.65,LW
22-06-2021,16:11,11.79,HW
22-06-2021,22:19,4.51,LW
23-06-2021,04:38,12.03,HW
23-06-2021,10:47,4.30,LW
23-06-2021,17:06,12.22,HW
24-06-2021,23:14,4.13,LW
24-06-2021,05:32,12.33,HW
24-06-2021,11:38,4.02,LW
24-06-2021,17:56,12.55,HW
25-06-2021,00:04,3.87,LW
25-06-2021,06:21,12.50,HW
25-06-2021,12:25,3.89,LW
25-06-2021,18:44,12.69,HW
26-06-2021,00:52,3.80,LW
26-06-2021,07:09,12.48,HW
26-06-2021,13:13,3.92,LW
26-06-2021,19:32,12.67,HW
27-06-2021,01:41,3.88,LW
