Date,Time,Height(m),State
14-05-2021,20:53,11.87,LW
15-05-2021,01:58,4.62,LW
15-05-2021,08:10,11.64,HW
15-05-2021,14:13,4.79,LW
15-05-2021,20:27,11.62,HW
16-05-2021,02:33,4.89,LW
16-05-2021,08:45,11.32,HW
16-05-2021,14:48,5.09,LW
16-05-2021,21:02,11.35,HW
17-05-2021,03:11,5.18,LW
17-05-2021,09:24,10.97,HW
17-05-2021,15:28,5.43,LW
17-05-2021,21:44,11.01,HW
18-05-2021,03:57,5.52,LW
18-05-2021,10:11,10.58,HW
18-05-2021,16:17,5.80,LW
18-05-2021,22:36,10.66,HW
19-05-2021,04:55,5.84,LW
19-05-2021,11:11,10.27,HW
19-05-2021,17:20,6.05,LW
20-05-2021,23:42,10.48,HW
20-05-2021,06:04,5.95,LW
20-05-2021,12:24,10.17,HW
20-05-2021,18:34,6.11,LW
21-05-2021,00:58,10.51,HW
21-05-2021,07:21,5.82,LW
21-05-2021,13:41,10.39,HW
21-05-2021,19:50,5.83,LW
