Date,Time,Height(m),State
18-01-2021,21:58,11.24,LW
19-01-2021,04:00,5.15,LW
19-01-2021,10:16,11.29,HW
19-01-2021,16:26,5.29,LW
19-01-2021,22:37,10.80,HW
20-01-2021,04:41,5.59,LW
20-01-2021,10:57,10.83,HW
20-01-2021,17:10,5.72,LW
21-01-2021,23:23,10.39,HW
21-01-2021,05:29,6.00,LW
21-01-2021,11:46,10.39,HW
21-01-2021,18:02,6.11,LW
22-01-2021,00:18,10.02,HW
22-01-2021,06:27,6.35,LW
22-01-2021,12:47,10.04,HW
22-01-2021,19:06,6.38,LW
23-01-2021,01:26,9.83,HW
23-01-2021,07:38,6.50,LW
23-01-2021,13:57,9.92,HW
23-01-2021,20:15,6.42,LW
24-01-2021,02:35,9.89,HW
24-01-2021,08:49,6.40,LW
24-01-2021,15:08,10.05,HW
24-01-2021,21:23,6.20,LW
25-01-2021,03:42,10.21,HW
25-01-2021,09:55,6.05,LW
25-01-2021,16:11,10.41,HW
25-01-2021,22:21,5.81,LW
