Date,Time,Height(m),State
26-01-2021,04:38,10.69,HW
26-01-2021,10:48,5.57,LW
26-01-2021,17:02,10.87,HW
27-01-2021,23:08,5.35,LW
27-01-2021,05:23,11.23,HW
27-01-2021,11:32,5.06,LW
27-01-2021,17:45,11.35,HW
28-01-2021,23:49,4.88,LW
28-01-2021,06:04,11.76,HW
28-01-2021,12:12,4.58,LW
28-01-2021,18:25,11.80,HW
29-01-2021,00:27,4.45,LW
29-01-2021,06:43,12.24,HW
29-01-2021,12:50,4.16,LW
29-01-2021,19:04,12.19,HW
30-01-2021,01:04,4.08,LW
30-01-2021,07:21,12.60,HW
30-01-2021,13:28,3.88,LW
30-01-2021,19:42,12.40,HW
31-01-2021,01:42,3.90,LW
31-01-2021,08:00,12.77,HW
31-01-2021,14:07,3.77,LW
31-01-2021,20:21,12.49,HW
01-02-2021,02:21,3.84,LW
01-02-2021,08:39,12.79,HW
01-02-2021,14:47,3.81,LW
01-02-2021,21:01,12.39,HW
02-02-2021,03:02,3.97,LW
