Date,Time,Height(m),State
22-05-2021,03:11,10.88,HW
22-05-2021,08:31,5.39,LW
22-05-2021,14:49,10.90,HW
22-05-2021,20:56,5.31,LW
23-05-2021,03:15,11.42,HW
23-05-2021,09:29,4.85,LW
23-05-2021,15:46,11.51,HW
23-05-2021,21:52,4.72,LW
24-05-2021,04:10,12.00,HW
24-05-2021,10:21,4.30,LW
24-05-2021,16:38,12.12,HW
24-05-2021,22:43,4.15,LW
25-05-2021,05:01,12.52,HW
25-05-2021,11:09,3.85,LW
25-05-2021,17:26,12.63,HW
26-05-2021,23:31,3.71,LW
26-05-2021,05:49,12.86,HW
26-05-2021,11:54,3.56,LW
26-05-2021,18:12,12.95,HW
27-05-2021,00:17,3.46,LW
27-05-2021,06:35,12.99,HW
27-05-2021,12:39,3.48,LW
27-05-2021,18:58,13.04,HW
28-05-2021,01:03,3.46,LW
28-05-2021,07:21,12.86,HW
28-05-2021,13:25,3.63,LW
28-05-2021,19:44,12.89,HW
29-05-2021,01:51,3.68,LW
