Date,Time,Height(m),State
23-04-2021,03:53,10.59,HW
23-04-2021,09:13,5.60,LW
23-04-2021,15:31,10.73,HW
23-04-2021,21:37,5.45,LW
24-04-2021,03:55,11.33,HW
24-04-2021,10:08,4.87,LW
24-04-2021,16:24,11.50,HW
24-04-2021,22:28,4.70,LW
25-04-2021,04:45,12.10,HW
25-04-2021,10:54,4.17,LW
25-04-2021,17:10,12.25,HW
26-04-2021,23:12,3.99,LW
26-04-2021,05:29,12.76,HW
26-04-2021,11:36,3.60,LW
26-04-2021,17:52,12.84,HW
27-04-2021,23:53,3.48,LW
27-04-2021,06:12,13.20,HW
27-04-2021,12:16,3.25,LW
27-04-2021,18:34,13.21,HW
28-04-2021,00:35,3.17,LW
28-04-2021,06:54,13.38,HW
28-04-2021,12:58,3.15,LW
28-04-2021,19:16,13.30,HW
29-04-2021,01:19,3.17,LW
29-04-2021,07:37,13.26,HW
29-04-2021,13:41,3.31,LW
29-04-2021,19:59,13.13,HW
30-04-2021,02:03,3.41,LW
