Date,Time,Height(m),State
17-03-2021,20:47,11.94,LW
18-03-2021,02:49,4.51,LW
18-03-2021,09:02,11.86,HW
18-03-2021,15:07,4.70,LW
18-03-2021,21:18,11.55,HW
19-03-2021,03:21,4.91,LW
19-03-2021,09:34,11.38,HW
19-03-2021,15:40,5.17,LW
19-03-2021,21:51,11.07,HW
20-03-2021,03:57,5.40,LW
20-03-2021,10:10,10.84,HW
20-03-2021,16:16,5.68,LW
20-03-2021,22:29,10.58,HW
21-03-2021,04:38,5.91,LW
21-03-2021,10:53,10.26,HW
21-03-2021,17:03,6.23,LW
22-03-2021,23:20,10.03,HW
22-03-2021,05:37,6.43,LW
22-03-2021,11:57,9.74,HW
22-03-2021,18:12,6.66,LW
23-03-2021,00:37,9.70,HW
23-03-2021,07:04,6.68,LW
23-03-2021,13:29,9.56,HW
23-03-2021,19:47,6.73,LW
24-03-2021,02:14,9.79,HW
24-03-2021,08:41,6.43,LW
24-03-2021,15:03,9.91,HW
24-03-2021,21:15,6.28,LW
