Date,Time,Height(m),State
15-04-2021,21:17,11.96,LW
16-04-2021,02:20,4.51,LW
16-04-2021,08:32,11.80,HW
16-04-2021,14:35,4.70,LW
16-04-2021,20:47,11.64,HW
17-04-2021,02:52,4.85,LW
17-04-2021,09:04,11.38,HW
17-04-2021,15:08,5.11,LW
17-04-2021,21:21,11.22,HW
18-04-2021,03:29,5.29,LW
18-04-2021,09:41,10.88,HW
18-04-2021,15:46,5.59,LW
18-04-2021,22:01,10.74,HW
19-04-2021,04:12,5.76,LW
19-04-2021,10:26,10.37,HW
19-04-2021,16:33,6.05,LW
19-04-2021,22:51,10.33,HW
20-04-2021,05:08,6.16,LW
20-04-2021,11:27,9.94,HW
20-04-2021,17:39,6.44,LW
21-04-2021,00:04,10.00,HW
21-04-2021,06:31,6.41,LW
21-04-2021,12:54,9.76,HW
21-04-2021,19:08,6.53,LW
22-04-2021,01:34,10.05,HW
22-04-2021,08:00,6.21,LW
22-04-2021,14:22,10.06,HW
22-04-2021,20:32,6.13,LW
