Date,Time,Height(m),State
25-03-2021,03:35,10.40,HW
25-03-2021,09:52,5.78,LW
25-03-2021,16:08,10.60,HW
25-03-2021,22:14,5.58,LW
26-03-2021,04:31,11.19,HW
26-03-2021,10:43,4.99,LW
26-03-2021,16:58,11.42,HW
27-03-2021,23:01,4.76,LW
27-03-2021,05:17,12.03,HW
27-03-2021,11:26,4.23,LW
27-03-2021,17:41,12.17,HW
28-03-2021,23:42,4.06,LW
28-03-2021,05:59,12.74,HW
28-03-2021,12:05,3.61,LW
28-03-2021,18:20,12.80,HW
29-03-2021,00:20,3.47,LW
29-03-2021,06:38,13.27,HW
29-03-2021,12:43,3.21,LW
29-03-2021,18:59,13.19,HW
30-03-2021,00:59,3.16,LW
30-03-2021,07:17,13.49,HW
30-03-2021,13:21,3.08,LW
30-03-2021,19:37,13.31,HW
31-03-2021,01:38,3.12,LW
31-03-2021,07:58,13.41,HW
31-03-2021,14:01,3.21,LW
31-03-2021,20:19,13.15,HW
01-04-2021,02:21,3.33,LW
