Date,Time,Height(m),State
05-06-2021,16:07,10.37,HW
05-06-2021,21:14,5.94,LW
06-06-2021,03:29,10.63,HW
06-06-2021,09:42,5.64,LW
06-06-2021,15:56,10.67,HW
06-06-2021,22:02,5.65,LW
07-06-2021,04:15,10.91,HW
07-06-2021,10:24,5.36,LW
07-06-2021,16:37,10.99,HW
07-06-2021,22:41,5.34,LW
08-06-2021,04:54,11.19,HW
08-06-2021,11:01,5.10,LW
08-06-2021,17:15,11.29,HW
09-06-2021,23:19,5.06,LW
09-06-2021,05:31,11.42,HW
09-06-2021,11:37,4.89,LW
09-06-2021,17:50,11.55,HW
10-06-2021,23:55,4.83,LW
10-06-2021,06:07,11.59,HW
10-06-2021,12:11,4.75,LW
10-06-2021,18:25,11.71,HW
11-06-2021,00:30,4.71,LW
11-06-2021,06:43,11.65,HW
11-06-2021,12:46,4.69,LW
11-06-2021,19:01,11.79,HW
12-06-2021,01:07,4.66,LW
12-06-2021,07:19,11.65,HW
12-06-2021,13:22,4.70,LW
