Date,Time,Height(m),State
01-04-2021,09:40,13.05,HW
01-04-2021,14:45,3.59,LW
01-04-2021,21:02,12.74,HW
02-04-2021,03:07,3.81,LW
02-04-2021,09:25,12.43,HW
02-04-2021,15:30,4.21,LW
02-04-2021,21:47,12.07,HW
03-04-2021,03:55,4.51,LW
03-04-2021,10:13,11.63,HW
03-04-2021,16:21,4.97,LW
03-04-2021,22:39,11.31,HW
04-04-2021,04:52,5.27,LW
04-04-2021,11:11,10.79,HW
04-04-2021,17:22,5.74,LW
05-04-2021,23:44,10.57,HW
05-04-2021,06:05,5.96,LW
05-04-2021,12:28,10.11,HW
05-04-2021,18:45,6.32,LW
06-04-2021,01:12,10.10,HW
06-04-2021,07:41,6.28,LW
06-04-2021,14:08,9.91,HW
06-04-2021,20:24,6.39,LW
07-04-2021,02:48,10.19,HW
07-04-2021,09:11,6.06,LW
07-04-2021,15:32,10.23,HW
07-04-2021,21:41,6.03,LW
08-04-2021,03:59,10.63,HW
08-04-2021,10:14,5.57,LW
